LOG SHEET FOR MATERIAL INSPECTION REQUEST FOR MECHANICAL WORKS AT CONSTRUCTION OF MOWAIH PV 380/110 KV BSP,,,,,,
S. No.,Description,Inspection Request No.,Discipline,Material Received,Inspection Date,Prepared By
43,DUCTING FOR CONTROL BUILDING,MIR-M-043,HVAC Works,31-7-2025,31-7-2025,"JAVEED IMAM
 (M/s MSCL)"
44,GI DOUBLED SKINS DUCTS FOR PACU 4 CONTROL BUILDING,MIR-M-044,HVAC Works,10-8-2025,10-8-2025,"JAVEED IMAM
 (M/s MSCL)"
45,CONTROL CABLE FOR ACATUATOR,MIR-M-045,HVAC Works,11-8-2025,11-8-2025,"JAVEED IMAM
 (M/s MSCL)"
46,CRASH RATED FENCE,MIR-CIV-097,Security Works,17-7-2025,6-8-2025,"Hisham Srour
 (M/s ETECHS)"
,,,,,,
,,,,,,
LOG SHEET FOR MATERIAL INSPECTION REQUEST FOR MECHANICAL WORKS AT CONSTRUCTION OF MOWAIH PV 380/110 KV BSP,,,,( EXPANSION PE-301),,
S. No.,Description,Inspection Request No.,Discipline,Material Received,Inspection Date,Prepared By
,,,,,,
1,GI DOUBLE SKIN DUCT FOR CONTROL  BUILDING ,MIR-M-01,HVAC WORKS,11-5-2025,12-5-2025,"JAVEED IMAM
 (M/s MSCL)"
2,GI DOUBLE SKIN DUCT FOR CONTROL  BUILDING ,MIR-M-02,HVAC WORKS,25-5-2025,27-5-2025,"JAVEED IMAM
 (M/s MSCL)"
3,GI DOUBLE SKIN DUCT FOR 110 KV BUILDING ,MIR-M-03,HVAC WORKS,25-5-2025,27-5-2025,"JAVEED IMAM
 (M/s MSCL)"
4,MECHANICAL PIPES & FITTINGS,MIR-M-04,FIRE FIGHTING WORK,26-06-2025,30-06-2025,ENGR.INAM ( ALMAJAL )
5,FIRE ALARM CONDUITS & FITTINGS,MIR-M-05,FIRE ALARM WORK,11-06-2025,30-06-2025,ENGR.INAM ( ALMAJAL )
6,"AIR DEVICES GRILL, BDD,AND SAND TRAP LOVER",MIR-M-06,HVAC WORKS,03-07-2025,06-07-2025,"JAVEED IMAM
 (M/s MSCL)"
7,,,,,,
8,FIRE ALARM DEVICES,MIR-M-08,FIRE ALARM,19-05-2025,15-07-2025,ENGR.INAM ( ALAMJAL )
9,MFSD AND MVD ,MIR-M-09,HVAC WORKS,03-08-2025,03-08-2025,JAVEED IMAM (M/S MSCL)
